Timestamp,Used_Mem(MB),Avail_Mem(MB),GPU0_Util(%),GPU0_MemUsed(MB),GPU0_MemFree(MB)
2025-03-21 11:05:14,1887,13479,100,17493,5098
2025-03-21 11:05:19,1866,13501,80,17493,5098
2025-03-21 11:05:25,1823,13543,100,17493,5098
2025-03-21 11:05:30,1842,13525,81,17493,5098
2025-03-21 11:05:35,1893,13474,80,17493,5098
2025-03-21 11:05:40,1911,13455,96,17493,5098
2025-03-21 11:05:46,1845,13522,95,17493,5098
2025-03-21 11:05:51,1849,13517,80,17493,5098
2025-03-21 11:05:56,1917,13449,81,17493,5098
2025-03-21 11:06:01,1942,13424,80,17493,5098
2025-03-21 11:06:07,1864,13503,100,17493,5098
2025-03-21 11:06:12,1836,13531,80,17493,5098
2025-03-21 11:06:17,1823,13544,100,17493,5098
2025-03-21 11:06:22,1799,13568,98,17493,5098
2025-03-21 11:06:27,1847,13519,94,17493,5098
2025-03-21 11:06:33,1829,13538,96,17493,5098
2025-03-21 11:06:38,1844,13522,80,17493,5098
2025-03-21 11:06:43,1847,13520,88,17493,5098
2025-03-21 11:06:48,1821,13546,100,17493,5098
2025-03-21 11:06:54,1780,13587,97,17493,5098
2025-03-21 11:06:59,1792,13574,91,17493,5098
2025-03-21 11:07:04,1840,13527,80,17493,5098
2025-03-21 11:07:09,1876,13490,83,17493,5098
2025-03-21 11:07:15,1893,13474,100,17493,5098
2025-03-21 11:07:20,1849,13517,80,17493,5098
2025-03-21 11:07:25,1863,13503,80,17493,5098
2025-03-21 11:07:30,1825,13542,100,17493,5098
2025-03-21 11:07:35,1827,13539,80,17493,5098
2025-03-21 11:07:41,1826,13541,100,17493,5098
2025-03-21 11:07:46,1853,13513,80,17493,5098
2025-03-21 11:07:51,1893,13473,80,17493,5098
2025-03-21 11:07:56,1884,13483,80,17493,5098
2025-03-21 11:08:02,1902,13464,100,17493,5098
2025-03-21 11:08:07,1907,13458,80,17493,5098
2025-03-21 11:08:12,1880,13487,100,17493,5098
2025-03-21 11:08:17,1887,13479,77,17493,5098
2025-03-21 11:08:22,1867,13499,97,17493,5098
2025-03-21 11:08:28,1841,13526,80,17493,5098
2025-03-21 11:08:33,1905,13462,80,17493,5098
2025-03-21 11:08:38,1894,13473,100,17493,5098
2025-03-21 11:08:43,1907,13459,80,17493,5098
2025-03-21 11:08:49,1857,13510,100,17493,5098
2025-03-21 11:08:54,1817,13549,80,17493,5098
2025-03-21 11:08:59,1814,13553,100,17493,5098
2025-03-21 11:09:04,1820,13546,86,17493,5098
2025-03-21 11:09:10,1837,13528,80,17493,5098
2025-03-21 11:09:15,1924,13442,80,17493,5098
2025-03-21 11:09:20,1844,13522,100,17493,5098
2025-03-21 11:09:25,1813,13554,100,17493,5098
2025-03-21 11:09:30,1813,13553,80,17493,5098
2025-03-21 11:09:36,1835,13534,100,17493,5098
2025-03-21 11:09:41,1794,13572,86,17493,5098
2025-03-21 11:09:46,1871,13495,80,17493,5098
2025-03-21 11:09:51,1914,13453,99,17493,5098
2025-03-21 11:09:57,1838,13529,80,17493,5098
2025-03-21 11:10:02,1874,13492,80,17493,5098
2025-03-21 11:10:07,1901,13466,100,17493,5098
2025-03-21 11:10:12,1926,13440,86,17493,5098
2025-03-21 11:10:18,1847,13520,100,17493,5098
2025-03-21 11:10:23,1807,13559,80,17493,5098
2025-03-21 11:10:28,1902,13465,100,17493,5098
2025-03-21 11:10:33,1880,13487,91,17493,5098
2025-03-21 11:10:38,1856,13510,90,17493,5098
2025-03-21 11:10:44,1826,13540,100,17493,5098
2025-03-21 11:10:49,1814,13552,80,17493,5098
2025-03-21 11:10:54,1859,13507,96,17493,5098
2025-03-21 11:10:59,1913,13454,96,17493,5098
2025-03-21 11:11:05,1885,13482,86,17493,5098
2025-03-21 11:11:10,1910,13457,80,17493,5098
2025-03-21 11:11:15,1880,13486,98,17493,5098
2025-03-21 11:11:20,1848,13518,94,17493,5098
2025-03-21 11:11:26,1820,13548,86,17493,5098
2025-03-21 11:11:31,1831,13535,89,17493,5098
2025-03-21 11:11:36,1900,13467,100,17493,5098
2025-03-21 11:11:41,1892,13473,80,17493,5098
2025-03-21 11:11:46,1874,13492,100,17493,5098
2025-03-21 11:11:52,1856,13510,80,17493,5098
2025-03-21 11:11:57,1828,13538,93,17493,5098
2025-03-21 11:12:02,1828,13538,100,17493,5098
2025-03-21 11:12:07,1861,13505,80,17493,5098
2025-03-21 11:12:13,1827,13539,100,17493,5098
2025-03-21 11:12:18,1842,13525,80,17493,5098
2025-03-21 11:12:23,1899,13467,80,17493,5098
2025-03-21 11:12:28,1869,13498,80,17493,5098
2025-03-21 11:12:34,1858,13508,80,17493,5098
2025-03-21 11:12:39,1896,13470,100,17493,5098
